code.ID,Database,Crop,Crop_Water,Database_Water,orderData,SEV_cond,orderBox,temp
4008,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,31.53
4445,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.74
4446,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.71
4447,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.69
4448,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.68
4449,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.68
4450,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.59
4451,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.54
4452,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.52
4465,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,33.19
4466,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,33.02
4467,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.97
4468,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.93
4469,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.88
4470,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.84
4471,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.79
4478,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.37
4479,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.33
4480,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.44
4483,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.29
4498,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.99
4499,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.97
4500,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.92
4501,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.8
4502,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.79
4503,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.77
4504,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.76
4505,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.74
4506,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.69
4507,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.64
4508,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.6
4509,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.57
4510,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.55
4511,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,32.52
4532,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,31.18
4533,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,31.18
4534,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,31.2
4535,Puglia,Olive,Olive_Rainfed,Puglia_Rainfed,4P,3-Xf-I,0,31.21
